Rxn	mean_Par_wo	mean_Par_Ac	mean_ATS_wo	mean_ATS_Ac	norm_Par_wo	norm_Par_Ac	norm_ATS_wo	norm_ATS_Ac
r_0042	5529.334353637597	3809.7340297178166	2757.2541858642094	2200.674407787432	1.0	0.6890040981536046	0.49865933393054584	0.397999879739533
r_0043	1338.1610751528567	1576.6706252241765	1783.5030739512033	1723.4822202775933	0.7502992816201162	0.8840302258247267	1.0	0.9663466497197346
r_0045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
r_0057	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_0058	1090.75948462312	912.0008327359554	1512.5895519565236	1409.10506356126	0.7211205995785377	0.6029400583630166	1.0	0.9315845542755422
r_0060	7198.87769839894	2659.77703548132	5087.576638020691	3087.243803289417	1.0	0.3694710685351503	0.7067180262212523	0.42885070876756703
r_0061	4466.803149325649	4359.371546426596	3972.2302137811134	4748.611211043859	0.9406546358095589	0.9180308415833229	0.8365035664623135	1.0
r_0062	16660.2992128849	15084.1872558675	21719.600209047498	22535.100764349034	0.7393044028115382	0.6693640917608399	0.9638119854075969	1.0
r_0063	2988.1961408839165	707.543046462632	1087.9433035094635	739.628671254511	1.0	0.23677931872749786	0.3640802853013681	0.2475167747976968
r_0064	16660.2992128849	15084.1872558675	21719.600209047498	22535.100764349034	0.7393044028115382	0.6693640917608399	0.9638119854075969	1.0
r_0065	3940.5745549007097	4238.996996756537	2967.08117482805	2367.88632548192	0.9296006951445909	1.0	0.6999488740139019	0.5585958959852307
r_0066	767.2485593250807	762.6998973937065	683.5101580467395	523.1661342445617	1.0	0.9940714624014733	0.8908588354313723	0.6818730747500797
r_0067	2161.76359665362	1621.7802716597864	2270.39576068746	2274.4336191778766	0.9504623825579123	0.7130479685074299	0.9982246751646786	1.0
r_0068	222.76356575339034	383.864347629278	500.1826999957577	628.4407848373806	0.3544702557951169	0.6108202346042979	0.7959106284376309	1.0
r_0069	5060.725299535537	3695.48277340723	2605.22922898347	1967.3538410096135	1.0	0.730227893173019	0.5147936461247111	0.3887493836486587
r_0072	16660.2992128849	15084.1872558675	21719.600209047498	22535.100764349034	0.7393044028115382	0.6693640917608399	0.9638119854075969	1.0
r_0073	3553.863232546007	3126.0763037165834	2721.751116534307	2680.1196682751065	1.0	0.8796276331312405	0.765857023311623	0.7541426028246602
r_0075	2581.300333276083	1941.6363064246134	1531.84973748646	701.779926847288	1.0	0.7521931025981646	0.5934411109544536	0.27187069935276265
r_0079	4224.203473351804	2840.478978155803	2416.8619209755766	1849.0560688110265	1.0	0.6724294878489722	0.5721461895058418	0.4377289305488509
r_0080	10794.767561976934	10146.953180563956	7072.4171294385005	6738.182886438961	1.0	0.9399881120465424	0.6551708583656868	0.6242082423500503
r_0081	10120.316744700334	3901.8479496987734	7006.7815351035	4556.253632248856	1.0	0.38554603063605086	0.692348047186637	0.4502085999071927
r_0085	36904.304522262966	20077.191552100565	18120.137551229534	14461.977042942102	1.0	0.544033868460758	0.4910033608761911	0.3918777830975717
